src_ip,dst_ip,packet_size,ttl,ip_flags,fragment_offset,ip_header_length,ip_checksum,src_mac,dst_mac,label
1921680201,21773160140,78,64,2,0,20,9297,133671544484,133671544825,0
1921680201,21773160140,94,64,2,0,20,9257,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,33594,133671544825,133671544484,0
1921680211,1921680201,60,64,0,0,20,63015,133671544485,133671544484,1
1921680201,1921680202,42,64,0,0,20,31802,133671544484,133671544710,0
1921680201,1921680203,42,64,0,0,20,16665,133671544484,133671544775,0
1921680207,1921680201,60,64,0,0,20,18081,133671544832,133671544484,1
21773160140,1921680201,66,118,0,0,20,34241,133671544825,133671544484,0
21773160140,1921680201,5666,118,0,0,20,26877,133671544825,133671544484,0
21773160140,1921680201,8466,118,0,0,20,21488,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,10463,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,31934,133671544825,133671544484,0
1921680201,1921680211,42,64,0,0,20,58232,133671544484,133671544485,0
1921680201,1921680205,42,64,0,0,20,45505,133671544484,133671544708,0
1921680201,1921680208,42,64,0,0,20,5350,133671544484,106260561259611,0
21773160140,1921680201,2866,118,0,0,20,28870,133671544825,133671544484,0
1921680211,1921680201,60,64,0,0,20,29559,133671544485,133671544484,1
1921680201,21773160140,66,64,2,0,20,8985,133671544484,133671544825,0
1921680201,1921680204,42,64,0,0,20,609,133671544484,106260561259283,0
1921680203,1921680201,60,64,0,0,20,51260,133671544775,133671544484,1
1921680203,1921680201,60,64,0,0,20,49283,133671544775,133671544484,1
1921680201,21773160140,66,64,2,0,20,9670,133671544484,133671544825,0
1921680202,1921680201,60,64,0,0,20,11568,133671544710,133671544484,1
1921680201,21773160140,78,64,2,0,20,9312,133671544484,133671544825,0
1921680201,1921680211,42,64,0,0,20,57995,133671544484,133671544485,0
21773160140,1921680201,2866,118,0,0,20,29546,133671544825,133671544484,0
1921680201,1921680208,42,64,0,0,20,4520,133671544484,106260561259611,0
1921680201,21773160140,78,64,2,0,20,10340,133671544484,133671544825,0
1921680201,21773160140,66,64,2,0,20,10369,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,32488,133671544825,133671544484,0
1921680211,1921680201,60,64,0,0,20,121,133671544485,133671544484,1
1921680208,22400251,87,255,2,0,20,11304,106260561259611,1101088686331,0
1921680201,1921680206,42,64,0,0,20,60780,133671544484,133671544774,0
21773160140,1921680201,25266,118,0,0,20,9453,133671544825,133671544484,0
1921680201,1921680206,42,64,0,0,20,61995,133671544484,133671544774,0
1921680204,1921680201,60,64,0,0,20,972,106260561259283,133671544484,1
1921680201,21773160140,78,64,2,0,20,10086,133671544484,133671544825,0
1921680201,21773160140,94,64,2,0,20,8620,133671544484,133671544825,0
1921680201,21773160140,996,64,2,0,20,9310,133671544484,133671544825,0
1921680201,21773160140,66,64,2,0,20,10222,133671544484,133671544825,0
21773160140,1921680201,778,118,0,0,20,30488,133671544825,133671544484,0
21773160140,1921680201,7066,118,0,0,20,23265,133671544825,133671544484,0
1921680203,1921680201,60,64,0,0,20,35695,133671544775,133671544484,1
1921680202,1921680201,60,64,0,0,20,40162,133671544710,133671544484,1
21773160140,1921680201,2866,118,0,0,20,32285,133671544825,133671544484,0
21773160140,1921680201,1466,118,0,0,20,30344,133671544825,133671544484,0
1921680206,1921680201,60,64,0,0,20,26263,133671544774,133671544484,1
1921680201,21773160140,94,64,2,0,20,9500,133671544484,133671544825,0
1921680201,1921680211,42,64,0,0,20,58628,133671544484,133671544485,0
1921680201,1921680208,42,64,0,0,20,5187,133671544484,106260561259611,0
1921680201,21773160140,78,64,2,0,20,8664,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,26762,133671544825,133671544484,0
1921680207,1921680201,60,64,0,0,20,32581,133671544832,133671544484,1
21773160140,1921680201,7074,118,0,0,20,26994,133671544825,133671544484,0
1921680205,1921680201,60,64,0,0,20,47459,133671544708,133671544484,1
1921680208,1921680201,60,64,0,0,20,2258,106260561259611,133671544484,1
21773160140,1921680201,1466,118,0,0,20,33889,133671544825,133671544484,0
1921680201,21773160140,94,64,2,0,20,9901,133671544484,133671544825,0
1921680201,21773160140,86,64,2,0,20,10021,133671544484,133671544825,0
21773160140,1921680201,3869,118,0,0,20,29113,133671544825,133671544484,0
21773160140,1921680201,4266,118,0,0,20,29481,133671544825,133671544484,0
21773160140,1921680201,1466,118,0,0,20,30886,133671544825,133671544484,0
1921680212,1921680201,60,64,0,0,20,45217,106260561257785,133671544484,1
1921680201,21773160140,78,64,2,0,20,9612,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,28435,133671544825,133671544484,0
21773160140,1921680201,1466,118,0,0,20,34410,133671544825,133671544484,0
21773160140,1921680201,2866,118,0,0,20,29491,133671544825,133671544484,0
1921680212,1921680201,60,64,0,0,20,65501,106260561257785,133671544484,1
1921680201,21773160140,66,64,2,0,20,8722,133671544484,133671544825,0
1921680201,1921680204,42,64,0,0,20,65428,133671544484,106260561259283,0
21773160140,1921680201,347,118,0,0,20,28994,133671544825,133671544484,0
1921680201,1921680205,42,64,0,0,20,45451,133671544484,133671544708,0
1921680201,21773160140,78,64,2,0,20,10334,133671544484,133671544825,0
1921680204,1921680201,60,64,0,0,20,21954,106260561259283,133671544484,1
1921680201,21773160140,94,64,2,0,20,10545,133671544484,133671544825,0
1921680201,21773160140,78,64,2,0,20,9031,133671544484,133671544825,0
1921680201,1921680208,42,64,0,0,20,4044,133671544484,106260561259611,0
1921680204,1921680201,60,64,0,0,20,56039,106260561259283,133671544484,1
1921680201,1921680212,42,64,0,0,20,24679,133671544484,106260561257785,0
1921680201,1921680204,42,64,0,0,20,224,133671544484,106260561259283,0
1921680201,1921680203,42,64,0,0,20,17943,133671544484,133671544775,0
21773160140,1921680201,3796,118,0,0,20,31904,133671544825,133671544484,0
1921680201,1921680207,42,64,0,0,20,54008,133671544484,133671544832,0
1921680201,21773160140,66,64,2,0,20,8838,133671544484,133671544825,0
1921680203,1921680201,60,64,0,0,20,44504,133671544775,133671544484,1
1921680201,1921680204,42,64,0,0,20,65524,133671544484,106260561259283,0
1921680208,1921680201,60,64,0,0,20,34016,106260561259611,133671544484,1
1921680201,21773160140,94,64,2,0,20,8590,133671544484,133671544825,0
1921680201,1921680204,42,64,0,0,20,673,133671544484,106260561259283,0
21773160140,1921680201,2866,118,0,0,20,25541,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,10590,133671544484,133671544825,0
