src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
1921680202,1921680201,63141,80,1505975257,1613173661,512,2,60,64,1
1921680201,1921680206,80,54230,3103201353,862792023,64240,18,58,64,0
1921680215,1921680201,28377,80,1055263731,1743775883,512,2,60,64,1
1921680214,1921680201,26431,80,1203782543,1238199780,512,2,60,64,1
21773160140,1921680201,443,33934,2269391341,3202662432,489,24,1466,118,0
1921680201,21773160140,33934,443,3202591562,2266860735,28319,16,78,64,0
1921680201,1921680219,80,8678,1288840098,1337210078,64240,18,58,64,0
21773160140,1921680201,443,33934,2274350418,3202770602,489,16,7066,118,0
21773160140,1921680201,443,33934,2272957348,3202737032,489,24,159,118,0
1921680201,142250181238,34700,443,978117373,351570991,24338,16,66,64,0
1921680201,21773160140,33934,443,3202684812,2270189024,29514,16,66,64,0
1921680201,21773160140,33934,443,3202722112,2272004126,29488,16,78,64,0
21773160140,1921680201,443,33934,2271685840,3202714652,489,16,4266,118,0
1921680201,21773160140,33934,443,3202722112,2272018126,29387,16,78,64,0
1921680206,1921680201,51555,80,543199777,1235684150,512,2,60,64,1
1921680220,1921680201,10037,80,1618396548,1739310222,512,2,60,64,1
21773160140,1921680201,443,33934,2267047462,3202595292,489,24,11266,118,0
21773160140,1921680201,443,33934,2267888034,3202632592,489,16,7066,118,0
1921680201,1921680216,80,3874,2472800813,619646550,64240,18,58,64,0
21773160140,1921680201,443,33934,2274581971,3202778062,489,16,2866,118,0
1921680219,1921680201,2606,80,1454449667,2009660841,512,2,60,64,1
1921680201,21773160140,33934,443,3202669892,2269718722,28660,16,94,64,0
21773160140,1921680201,443,33934,2265813767,3202569182,489,16,1466,118,0
1921680215,1921680201,25972,80,1089382880,731073506,512,2,60,64,1
1921680213,1921680201,15475,80,1437495409,1746212675,512,2,60,64,1
1921680205,1921680201,4614,80,277713896,1895013348,512,2,60,64,1
1921680201,21773160140,33934,443,3202591562,2266849535,28400,16,78,64,0
21773160140,1921680201,443,33934,2267121964,3202602752,489,16,2866,118,0
1921680206,1921680201,52916,80,1145455042,592864996,512,2,60,64,1
1921680201,21773160140,33934,443,3202617672,2267611210,28986,16,94,64,0
1921680209,1921680201,2677,80,1949584906,618528005,512,2,60,64,1
1921680219,1921680201,2589,80,1700444489,1483709469,512,2,60,64,1
1921680207,1921680201,41020,80,1183343982,1751671728,512,2,60,64,1
1921680219,1921680201,4400,80,1087434911,1599760476,512,2,60,64,1
1921680206,1921680201,56221,80,780090148,850934870,512,2,60,64,1
1921680204,1921680201,24398,80,1012350591,533942313,512,2,60,64,1
1921680201,21773160140,33934,443,3202703462,2271161020,28461,16,94,64,0
1921680220,1921680201,13798,80,461335524,1140114864,512,2,60,64,1
1921680205,1921680201,8539,80,1617934525,42108398,512,2,60,64,1
1921680201,1921680213,80,15447,50415197,2016795412,64240,18,58,64,0
21773160140,1921680201,443,33934,2270415402,3202684812,489,24,422,118,0
1921680201,1921680217,80,48053,1412099985,1513336806,64240,18,58,64,0
21773160140,1921680201,443,33934,2270122180,3202677352,489,24,4266,118,0
21773160140,1921680201,443,33934,2273722355,3202755682,489,24,4266,118,0
21773160140,1921680201,443,33934,2272980019,3202744492,489,16,4266,118,0
21773160140,1921680201,443,33934,2270963387,3202699732,489,24,17522,118,0
21773160140,1921680201,443,33934,2269956904,3202677352,489,16,1466,118,0
21773160140,1921680201,443,33934,2267980132,3202632592,489,16,8466,118,0
1921680207,1921680201,44842,80,255935517,912620878,512,2,60,64,1
1921680219,1921680201,9929,80,163492429,1049289317,512,2,60,64,1
21773160140,1921680201,443,33934,2271118556,3202703462,489,16,7066,118,0
1921680211,1921680201,510,80,174471432,532936670,512,2,60,64,1
21773160140,1921680201,443,33934,2266930735,3202591562,489,24,7066,118,0
1921680201,21773160140,33934,443,3202662432,2269116941,29011,16,66,64,0
1921680201,21773160140,33934,443,3202684812,2270180343,29570,16,66,64,0
1921680201,21773160140,33934,443,3202778062,2274553971,28593,16,94,64,0
1921680201,21773160140,33934,443,3202692272,2270537837,29091,16,94,64,0
1921680201,21773160140,33934,443,3202569182,2265808167,28884,16,78,64,0
21773160140,1921680201,443,33934,2268749073,3202647512,489,24,1466,118,0
1921680219,1921680201,6223,80,781805983,1002123605,512,2,60,64,1
1921680201,21773160140,33934,443,3202707192,2271380802,29326,16,66,64,0
1921680201,142250181238,34700,443,978125135,351571818,24338,16,66,64,0
1921680201,21773160140,33934,443,3202759412,2273790978,29409,16,66,64,0
1921680210,1921680201,40003,80,164277127,1663744908,512,2,60,64,1
1921680210,1921680201,41841,80,2120271005,204346365,512,2,60,64,1
21773160140,1921680201,443,33934,2269725722,3202669892,489,16,1466,118,0
21773160140,1921680201,443,33934,2270189024,3202684812,489,16,2866,118,0
1921680207,1921680201,39719,80,1370873667,870058993,512,2,60,64,1
1921680201,1921680217,80,43916,663507337,744477403,64240,18,58,64,0
1921680202,1921680201,62683,80,1585542772,182933184,512,2,60,64,1
1921680213,1921680201,16105,80,1055889733,115261747,512,2,60,64,1
1921680201,21773160140,33934,443,3202744492,2273210376,27917,16,94,64,0
1921680218,1921680201,59744,80,1532836489,2070238275,512,2,60,64,1
1921680201,21773160140,33934,443,3202669892,2269500248,29579,16,78,64,0
1921680201,21773160140,33934,443,3202613942,2267487274,29579,16,1466,64,0
1921680201,1921680219,80,5653,2840454461,225197199,64240,18,58,64,0
21773160140,1921680201,443,33934,2268683273,3202647512,489,24,2866,118,0
1921680201,21773160140,33934,443,3202647512,2268779873,28081,16,94,64,0
1921680201,1921680206,80,55560,543701497,701365566,64240,18,58,64,0
21773160140,1921680201,443,33934,2271803872,3202714652,489,24,4110,118,0
1921680201,21773160140,33934,443,3202684812,2270293226,29001,16,94,64,0
