src_ip,dst_ip,packet_size,ttl,ip_flags,fragment_offset,ip_header_length,ip_checksum,src_mac,dst_mac,label
1921680201,1921680205,42,64,0,0,20,44921,133671544484,133671544708,0
1921680207,1921680201,60,64,0,0,20,30171,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53558,133671544484,133671544832,0
1921680204,1921680201,60,64,0,0,20,236,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,504,133671544484,106260561259283,0
1921680206,1921680201,60,64,0,0,20,10308,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61501,133671544484,133671544774,0
1921680212,1921680201,60,64,0,0,20,22195,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24369,133671544484,106260561257785,0
1921680202,1921680201,60,64,0,0,20,36287,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,31059,133671544484,133671544710,0
1921680208,1921680201,60,64,0,0,20,54013,106260561259611,133671544484,1
21773160140,1921680201,996,118,0,0,20,28327,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8803,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,27856,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8802,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,27855,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8801,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,27854,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8800,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,27853,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8799,133671544484,133671544825,0
21773160140,1921680201,22466,118,0,0,20,6852,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8798,133671544484,133671544825,0
21773160140,1921680201,5666,118,0,0,20,23636,133671544825,133671544484,0
21773160140,1921680201,3330,118,0,0,20,25968,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8797,133671544484,133671544825,0
21773160140,1921680201,32978,118,0,0,20,61852,133671544825,133671544484,0
21773160140,1921680201,3427,118,0,0,20,25844,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8796,133671544484,133671544825,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680201,21773160140,1466,64,2,0,20,7395,133671544484,133671544825,0
1921680201,21773160140,1466,64,2,0,20,7394,133671544484,133671544825,0
1921680201,21773160140,996,64,2,0,20,7863,133671544484,133671544825,0
21773160140,1921680201,66,118,0,0,20,29202,133671544825,133671544484,0
21773160140,1921680201,1259,118,0,0,20,28008,133671544825,133671544484,0
21773160140,1921680201,350,118,0,0,20,28916,133671544825,133671544484,0
21773160140,1921680201,93,118,0,0,20,29172,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,8792,133671544484,133671544825,0
