src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
1921680211,1921680201,61844,80,1428695423,1688363828,512,2,60,64,1
1921680207,1921680201,39127,80,1023249054,139310969,512,2,60,64,1
1921680203,1921680201,45588,80,1888263967,1092291710,512,2,60,64,1
1921680205,1921680201,2664,80,1681833303,1663986989,512,2,60,64,1
1921680209,1921680201,64386,80,688288923,413856123,512,2,60,64,1
1921680218,1921680201,57389,80,399496607,113945236,512,2,60,64,1
1921680201,1921680213,80,16117,3336912434,1753930537,64240,18,58,64,0
1921680201,1921680207,80,39127,3054063057,1023249055,64240,18,58,64,0
1921680215,1921680201,25051,80,296518360,475958002,512,2,60,64,1
1921680202,1921680201,60816,80,337452984,1583119217,512,2,60,64,1
1921680205,1921680201,2665,80,1965421924,1897720869,512,2,60,64,1
21773160140,1921680201,443,33934,2265985968,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265988768,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265994368,3202569182,489,24,722,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2265855528,3202569182,489,16,4266,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2265863928,3202569182,489,16,4266,118,0
21773160140,1921680201,443,33934,2265869528,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2265997824,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265870928,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265999224,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265872328,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2266003424,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2265875128,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2266004824,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265877928,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2266007624,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265880728,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2266010424,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265882128,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265886328,3202569182,489,16,2866,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2266016024,3202569182,489,16,2866,118,0
21773160140,1921680201,443,33934,2266023024,3202569182,489,24,1796,118,0
21773160140,1921680201,443,33934,2266024754,3202569182,489,24,142,118,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2265823567,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265826367,28751,16,94,64,0
21773160140,1921680201,443,33934,2265826367,3202569182,489,16,1466,118,0
21773160140,1921680201,443,33934,2265829167,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265829167,28730,16,94,64,0
1921680201,21773160140,33934,443,3202569182,2265831967,28709,16,94,64,0
21773160140,1921680201,443,33934,2265831967,3202569182,489,16,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265836241,28676,16,94,64,0
21773160140,1921680201,443,33934,2265836241,3202569182,489,16,2866,118,0
1921680201,21773160140,33934,443,3202569182,2265839041,28655,16,94,64,0
21773160140,1921680201,443,33934,2265839041,3202569182,489,24,1466,118,0
1921680201,21773160140,33934,443,3202569182,2265848841,28579,16,94,64,0
21773160140,1921680201,443,33934,2265848841,3202569182,489,24,2866,118,0
1921680201,21773160140,33934,443,3202569182,2265854441,28536,16,94,64,0
21773160140,1921680201,443,33934,2265854441,3202569182,489,24,1153,118,0
1921680201,21773160140,33934,443,3202569182,2265859728,28495,16,94,64,0
21773160140,1921680201,443,33934,2265859728,3202569182,489,24,4266,118,0
1921680201,21773160140,33934,443,3202569182,2265868128,28430,16,94,64,0
21773160140,1921680201,443,33934,2265868128,3202569182,489,16,1466,118,0
1921680217,1921680201,44488,80,58843493,475012776,512,2,60,64,1
1921680218,1921680201,59774,80,1378684241,1993033159,512,2,60,64,1
1921680219,1921680201,5643,80,675360111,350114014,512,2,60,64,1
1921680206,1921680201,52919,80,101400508,1841883402,512,2,60,64,1
1921680202,1921680201,62668,80,779142318,287370916,512,2,60,64,1
1921680203,1921680201,47996,80,509299191,924393806,512,2,60,64,1
1921680218,1921680201,59775,80,1176965990,358046290,512,2,60,64,1
1921680201,1921680217,80,44488,125190374,58843494,64240,18,58,64,0
1921680201,1921680219,80,5643,180420460,675360112,64240,18,58,64,0
1921680201,1921680206,80,52919,1233263123,101400509,64240,18,58,64,0
1921680220,1921680201,10494,80,547362796,727289431,512,2,60,64,1
1921680215,1921680201,26974,80,1377339007,685849816,512,2,60,64,1
1921680209,1921680201,762,80,660750267,1988784679,512,2,60,64,1
1921680203,1921680201,47997,80,1029301723,1051104195,512,2,60,64,1
1921680218,1921680201,59776,80,1861610585,874539347,512,2,60,64,1
1921680206,1921680201,52921,80,1829432489,676416625,512,2,60,64,1
1921680205,1921680201,5268,80,68329336,878281801,512,2,60,64,1
1921680220,1921680201,10495,80,1836395488,1503837235,512,2,60,64,1
1921680201,1921680206,80,52921,4039797084,1829432490,64240,18,58,64,0
1921680217,1921680201,44491,80,62218723,597191999,512,2,60,64,1
1921680218,1921680201,59777,80,701564599,1455473528,512,2,60,64,1
1921680202,1921680201,62670,80,1204319117,1441939343,512,2,60,64,1
1921680219,1921680201,3226,80,54716244,0,0,4,60,64,0
1921680211,1921680201,64248,80,1213116936,1237791578,512,2,60,64,1
1921680217,1921680201,44492,80,961399663,881334749,512,2,60,64,1
1921680209,1921680201,764,80,798575609,1153458964,512,2,60,64,1
1921680206,1921680201,52923,80,1497240305,1190266784,512,2,60,64,1
1921680201,1921680217,80,44491,4151516648,62218724,64240,18,58,64,0
1921680201,1921680217,80,44492,1598412861,961399664,64240,18,58,64,0
1921680201,1921680206,80,52923,282749123,1497240306,64240,18,58,64,0
1921680202,1921680201,62671,80,1775867199,301250647,512,2,60,64,1
1921680211,1921680201,64249,80,1951038642,820989956,512,2,60,64,1
1921680217,1921680201,44493,80,1168639907,595901740,512,2,60,64,1
1921680207,1921680201,41686,80,1387037894,280436339,512,2,60,64,1
1921680205,1921680201,5271,80,735838012,806373360,512,2,60,64,1
1921680213,1921680201,18727,80,938670919,1422971047,512,2,60,64,1
1921680202,1921680201,62672,80,1679841724,78464612,512,2,60,64,1
1921680217,1921680201,44494,80,32458471,22152581,512,2,60,64,1
1921680201,1921680217,80,44493,4085060563,1168639908,64240,18,58,64,0
1921680201,1921680207,80,41686,3289510844,1387037895,64240,18,58,64,0
1921680201,1921680213,80,18727,1799838997,938670920,64240,18,58,64,0
1921680201,1921680217,80,44494,3400523802,32458472,64240,18,58,64,0
1921680214,1921680201,25814,80,2069803748,916311212,512,2,60,64,1
1921680210,1921680201,38188,80,1617191170,446846551,512,2,60,64,1
1921680203,1921680201,48002,80,963137601,328895259,512,2,60,64,1
1921680207,1921680201,41688,80,2088817886,37887066,512,2,60,64,1
1921680218,1921680201,59781,80,1154094621,776768524,512,2,60,64,1
1921680213,1921680201,18729,80,173277380,691174834,512,2,60,64,1
1921680206,1921680201,52927,80,1897084728,1194981578,512,2,60,64,1
1921680219,1921680201,5651,80,1728072733,356980857,512,2,60,64,1
1921680201,21773160140,33934,443,3202778062,2274520371,28848,16,78,64,0
21773160140,1921680201,443,33934,2274520371,3202778062,489,16,1466,118,0
21773160140,1921680201,443,33934,2274650571,3202778062,489,16,1466,118,0
21773160140,1921680201,443,33934,2274521771,3202778062,489,16,1466,118,0
21773160140,1921680201,443,33934,2274651971,3202778062,489,16,1466,118,0
1921680201,21773160140,33934,443,3202778062,2274521771,28838,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274521771,28838,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274523171,28828,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274523171,28828,16,78,64,0
21773160140,1921680201,443,33934,2274523171,3202778062,489,16,1466,118,0
21773160140,1921680201,443,33934,2274653371,3202778062,489,24,1466,118,0
21773160140,1921680201,443,33934,2274524571,3202778062,489,24,1466,118,0
1921680201,21773160140,33934,443,3202778062,2274524571,28818,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274524571,28818,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274525971,28808,16,78,64,0
21773160140,1921680201,443,33934,2274525971,3202778062,489,16,5666,118,0
21773160140,1921680201,443,33934,2274532971,3202778062,489,16,1466,118,0
21773160140,1921680201,443,33934,2274537171,3202778062,489,16,2866,118,0
1921680201,21773160140,33934,443,3202778062,2274531571,28765,16,78,64,0
1921680201,21773160140,33934,443,3202778062,2274531571,28765,16,86,64,0
